Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
Lenalidomide,1020,CRBN,Protein stability and degradation,NRAS_mut,3,13,0.09492231,5.740821265,5.821638738,,,0.927455995,-0.080817473,1.33453258,0.740863702,0.884300312,,,0,THCA,GDSC2
Lenalidomide,1020,CRBN,Protein stability and degradation,TP53_mut,11,5,0.284843009,5.731383804,5.971709111,,,0.647534359,-0.240325307,0.77743175,0.990187454,0.605691349,,,0,THCA,GDSC2
Axitinib,1021,"PDGFR, KIT, VEGFR",RTK signaling,BRAF_mut,7,9,0.104330771,3.609346014,3.449558141,,,0.822987623,0.159787873,0.701459047,1.932834712,0.838971262,,,96.39625053,THCA,GDSC2
Axitinib,1021,"PDGFR, KIT, VEGFR",RTK signaling,NRAS_mut,3,13,0.181770622,3.745355144,3.467336918,,,0.773441742,0.278018226,1.350305338,1.557362846,0.780725583,,,96.39625053,THCA,GDSC2
Axitinib,1021,"PDGFR, KIT, VEGFR",RTK signaling,TP53_mut,11,5,0.02480881,3.507574338,3.54562553,,,0.961224843,-0.038051192,1.613736608,1.31274201,0.963962505,,,96.39625053,THCA,GDSC2
AZD7762,1022,"CHEK1, CHEK2",Cell cycle,BRAF_mut,7,9,0.261962893,0.505971462,0.854679304,,,0.578053559,-0.348707842,0.652932547,1.667668316,0.61131261,,,91.69689143,THCA,GDSC2
AZD7762,1022,"CHEK1, CHEK2",Cell cycle,NRAS_mut,3,13,0.025875754,0.67386665,0.70863954,,,0.958144849,-0.03477289,0.856187667,1.408799525,0.968345888,,,96.83458879,THCA,GDSC2
AZD7762,1022,"CHEK1, CHEK2",Cell cycle,TP53_mut,11,5,0.762087924,0.402699663,1.360843535,,,0.323734773,-0.958143873,0.915368997,1.854109608,0.17951613,,,53.85483907,THCA,GDSC2
GW441756,1023,NTRK1,RTK signaling,BRAF_mut,7,9,0.485031487,3.585415067,4.02751484,,,0.322086781,-0.442099773,0.622155644,1.078705673,0.352151495,,,0,THCA,GDSC2
GW441756,1023,NTRK1,RTK signaling,NRAS_mut,3,13,0.45300811,3.49371242,3.91264629,,,0.412201834,-0.418933869,0.653120315,0.962634372,0.491011874,,,0,THCA,GDSC2
GW441756,1023,NTRK1,RTK signaling,TP53_mut,11,5,0.489177694,3.694272248,4.14170886,,,0.489472647,-0.447436612,0.737096886,1.252956736,0.379774196,,,0,THCA,GDSC2
Lestaurtinib,1024,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",BRAF_mut,7,9,0.395657884,-0.058335402,0.253875947,,,0.442050916,-0.312211348,0.758870493,0.811023198,0.445473056,,,0,THCA,GDSC2
Lestaurtinib,1024,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",NRAS_mut,3,13,0.250503545,0.280499454,0.079618258,,,0.661715808,0.200881196,0.619065036,0.82846962,0.701611786,,,0,THCA,GDSC2
Lestaurtinib,1024,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",TP53_mut,11,5,1.28951642,0.391072421,-0.485052183,,,0.090150907,0.876124604,0.582233437,0.876445062,0.031415784,,,0,THCA,GDSC2
SB216763,1025,"GSK3A, GSK3B",WNT signaling,BRAF_mut,7,9,0.814378057,4.865091045,5.84341663,,,0.126023788,-0.978325585,1.152843594,1.236424268,0.128401861,,,0,THCA,GDSC2
SB216763,1025,"GSK3A, GSK3B",WNT signaling,NRAS_mut,3,13,0.480300403,4.914694454,5.530946433,,,0.348865175,-0.616251979,0.806896289,1.346138599,0.465749246,,,0,THCA,GDSC2
SB216763,1025,"GSK3A, GSK3B",WNT signaling,TP53_mut,11,5,0.327039138,5.283386037,5.705828117,,,0.647560327,-0.42244208,1.000974498,1.826195989,0.553989833,,,0,THCA,GDSC2
Tanespimycin,1026,HSP90,Protein stability and degradation,BRAF_mut,7,9,0.789275709,-0.305390703,0.490779649,,,0.166757603,-0.796170353,1.213155727,0.822737712,0.139627089,,,41.88812658,THCA,GDSC2
Tanespimycin,1026,HSP90,Protein stability and degradation,NRAS_mut,3,13,0.031315311,0.114633823,0.148875419,,,0.949840469,-0.034241596,0.706740892,1.145271704,0.961696799,,,96.16967993,THCA,GDSC2
Tanespimycin,1026,HSP90,Protein stability and degradation,TP53_mut,11,5,0.29793136,0.243175835,-0.079130453,,,0.713469746,0.322306288,0.590098799,1.795990853,0.589399004,,,88.40985064,THCA,GDSC2
Motesanib,1029,"VEGFR, RET, KIT, PDGFR",RTK signaling,BRAF_mut,7,9,0.841661441,5.674664413,6.463226929,,,0.10372988,-0.788562515,0.762004694,1.049127288,0.117092324,,,35.12769728,THCA,GDSC2
Motesanib,1029,"VEGFR, RET, KIT, PDGFR",RTK signaling,NRAS_mut,3,13,0.062667284,6.066007228,6.130282428,,,0.92917574,-0.064275201,1.041938249,1.022919422,0.923446892,,,92.34468917,THCA,GDSC2
Motesanib,1029,"VEGFR, RET, KIT, PDGFR",RTK signaling,TP53_mut,11,5,0.466293849,5.972561955,6.438702348,,,0.513842719,-0.466140393,0.791370505,1.389974283,0.401866391,,,60.27995869,THCA,GDSC2
KU-55933,1030,ATM,Genome integrity,BRAF_mut,7,9,0.718827285,5.385415011,6.035552954,,,0.149358893,-0.650137944,0.586316815,1.083375671,0.175677436,,,0,THCA,GDSC2
KU-55933,1030,ATM,Genome integrity,NRAS_mut,3,13,0.368851784,5.464411487,5.817280554,,,0.697005421,-0.352869066,1.3276396,0.879761527,0.573844392,,,0,THCA,GDSC2
KU-55933,1030,ATM,Genome integrity,TP53_mut,11,5,0.268861443,5.670504873,5.928465613,,,0.695394915,-0.25796074,0.788691477,1.291069377,0.625883885,,,0,THCA,GDSC2
Afatinib,1032,"EGFR, ERBB2",EGFR signaling,BRAF_mut,7,9,1.035644645,2.190652412,2.79819353,,,0.046862538,-0.607541118,0.408557126,0.690686915,0.059029771,,,17.70893119,THCA,GDSC2
Afatinib,1032,"EGFR, ERBB2",EGFR signaling,NRAS_mut,3,13,0.057149297,2.501325519,2.539564007,,,0.908451454,-0.038238489,0.43106864,0.700954834,0.930167494,,,93.01674943,THCA,GDSC2
Afatinib,1032,"EGFR, ERBB2",EGFR signaling,TP53_mut,11,5,0.611069139,2.410072145,2.801503011,,,0.433273757,-0.391430866,0.436612259,0.979574733,0.276264679,,,41.43970189,THCA,GDSC2
Vismodegib,1033,SMO,Other,BRAF_mut,7,9,0.305229691,5.128849897,5.429411899,,,0.550294054,-0.300562001,0.936258446,1.019534695,0.554425757,,,92.60087488,THCA,GDSC2
Vismodegib,1033,SMO,Other,NRAS_mut,3,13,0.119487855,5.201192547,5.320236825,,,0.849850236,-0.119044278,0.88344004,1.013875217,0.854689425,,,92.60087488,THCA,GDSC2
Vismodegib,1033,SMO,Other,TP53_mut,11,5,0.050998857,5.282023395,5.332879804,,,0.948061353,-0.050856409,0.605739638,1.600991525,0.926008749,,,92.60087488,THCA,GDSC2
Staurosporine,1034,Broad spectrum kinase inhibitor,RTK signaling,BRAF_mut,7,9,0.704332878,-3.954988532,-2.688338711,,,0.152196112,-1.266649821,0.918824919,2.241995682,0.183982695,,,0,THCA,GDSC2
Staurosporine,1034,Broad spectrum kinase inhibitor,RTK signaling,NRAS_mut,3,13,0.430042192,-3.90272472,-3.090137998,,,0.405122168,-0.812586722,1.217941522,1.979454617,0.512890394,,,0,THCA,GDSC2
Staurosporine,1034,Broad spectrum kinase inhibitor,RTK signaling,TP53_mut,11,5,0.647561437,-3.612403735,-2.428705409,,,0.435395052,-1.183698326,1.026197082,3.01031125,0.249823035,,,0,THCA,GDSC2
PLX-4720,1036,BRAF,ERK MAPK signaling,BRAF_mut,7,9,1.786969362,2.580041944,5.2287445,,,0.002312194,-2.648702556,1.150037993,1.68903172,0.003227049,,,0.968114844,THCA,GDSC2
PLX-4720,1036,BRAF,ERK MAPK signaling,NRAS_mut,3,13,0.792072613,5.317761457,3.781977672,,,0.312466082,1.535783785,1.982074219,1.931661037,0.236571306,,,35.48569585,THCA,GDSC2
PLX-4720,1036,BRAF,ERK MAPK signaling,TP53_mut,11,5,0.026686032,4.052908797,4.107399467,,,0.967737172,-0.05449067,1.752163121,2.630171624,0.961237935,,,96.12379349,THCA,GDSC2
NU7441,1038,DNAPK,Genome integrity,BRAF_mut,7,9,0.622965073,3.113241759,4.084129787,,,0.201054001,-0.970888028,0.804066577,1.940539882,0.23673883,,,0,THCA,GDSC2
NU7441,1038,DNAPK,Genome integrity,NRAS_mut,3,13,0.362882072,3.180882782,3.769785542,,,0.634319532,-0.588902759,1.7600912,1.5988302,0.579990151,,,0,THCA,GDSC2
NU7441,1038,DNAPK,Genome integrity,TP53_mut,11,5,0.593110884,3.367491543,4.301490685,,,0.468766592,-0.933999142,0.914321982,2.566988206,0.290031902,,,0,THCA,GDSC2
Doramapimod,1042,"p38, JNK2",JNK and p38 signaling,BRAF_mut,7,9,0.172710557,5.465237028,5.26129175,,,0.716779895,0.203945279,0.717724867,1.433131345,0.736906412,,,95.29564315,THCA,GDSC2
Doramapimod,1042,"p38, JNK2",JNK and p38 signaling,NRAS_mut,3,13,0.038469474,5.313458905,5.359069864,,,0.94989115,-0.045610959,1.015357178,1.211696516,0.952956432,,,95.29564315,THCA,GDSC2
Doramapimod,1042,"p38, JNK2",JNK and p38 signaling,TP53_mut,11,5,0.557762291,5.549733749,4.912242742,,,0.507042189,0.637491007,0.576953578,1.933890913,0.31861432,,,95.29564315,THCA,GDSC2
JNK Inhibitor VIII,1043,JNK,JNK and p38 signaling,BRAF_mut,7,9,0.101698055,5.420261425,5.538043603,,,0.82781429,-0.117782179,0.558111027,1.453857626,0.842975299,,,0,THCA,GDSC2
JNK Inhibitor VIII,1043,JNK,JNK and p38 signaling,NRAS_mut,3,13,0.313628252,5.193459055,5.554141941,,,0.750985782,-0.360682886,1.681402836,1.035287255,0.631963456,,,0,THCA,GDSC2
JNK Inhibitor VIII,1043,JNK,JNK and p38 signaling,TP53_mut,11,5,0.287486813,5.383355852,5.713461606,,,0.704754524,-0.330105754,0.782724458,1.75584791,0.602382334,,,0,THCA,GDSC2
Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,BRAF_mut,7,9,0.556074382,2.226541513,3.126556086,,,0.249088369,-0.900014573,0.784906599,2.03032597,0.288448217,,,0,THCA,GDSC2
Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,NRAS_mut,3,13,0.264350534,2.372550946,2.815934041,,,0.71166274,-0.443383095,1.707421241,1.672173675,0.686064816,,,0,THCA,GDSC2
Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,TP53_mut,11,5,0.454411294,2.499031938,3.24708881,,,0.56143393,-0.748056872,1.065615344,2.578021952,0.413669451,,,0,THCA,GDSC2
Nutlin-3a (-),1047,MDM2,p53 pathway,BRAF_mut,7,9,0.914623665,4.627385762,5.810920938,,,0.125240198,-1.183535176,1.658129582,0.931814305,0.091017918,,,0,THCA,GDSC2
Nutlin-3a (-),1047,MDM2,p53 pathway,NRAS_mut,3,13,0.331776826,5.677156715,5.204501433,,,0.646477595,0.472655282,1.457185179,1.41911763,0.612556022,,,0,THCA,GDSC2
Nutlin-3a (-),1047,MDM2,p53 pathway,TP53_mut,11,5,1.242239918,5.768579597,4.247122642,,,0.187689244,1.521456955,0.522468808,2.137234853,0.037126095,,,0,THCA,GDSC2
Mirin,1048,MRE11,Genome integrity,BRAF_mut,7,7,0.679266519,4.705657428,5.560306469,,,0.243586303,-0.854649041,0.528412722,1.699083325,0.227886308,,,0,THCA,GDSC2
Mirin,1048,MRE11,Genome integrity,NRAS_mut,3,11,0.551721483,5.697318994,4.979071845,,,0.682293879,0.718247149,2.610099626,0.819260142,0.41353795,,,0,THCA,GDSC2
Mirin,1048,MRE11,Genome integrity,TP53_mut,10,4,0.086771301,5.166177777,5.049992378,,,0.89014921,0.116185399,1.329154495,1.368049536,0.885827531,,,0,THCA,GDSC2
PD173074,1049,"FGFR1, FGFR2, FGFR3",RTK signaling,BRAF_mut,7,9,1.070473238,3.664102031,4.60215014,,,0.039186347,-0.938048109,0.450745192,1.091525443,0.051954747,,,15.58642415,THCA,GDSC2
PD173074,1049,"FGFR1, FGFR2, FGFR3",RTK signaling,NRAS_mut,3,13,0.049847172,4.232556173,4.182338228,,,0.919699928,0.050217945,0.644250622,1.055893229,0.939069498,,,93.90694977,THCA,GDSC2
PD173074,1049,"FGFR1, FGFR2, FGFR3",RTK signaling,TP53_mut,11,5,0.417364844,4.063052534,4.47489752,,,0.54746787,-0.411844986,0.811299522,1.32759799,0.451909875,,,67.78648131,THCA,GDSC2
ZM447439,1050,"AURKA, AURKB",Mitosis,BRAF_mut,7,9,0.657249401,2.607915778,3.415128338,,,0.178259839,-0.80721256,0.596448833,1.540415499,0.213204618,,,0,THCA,GDSC2
ZM447439,1050,"AURKA, AURKB",Mitosis,NRAS_mut,3,13,0.71610748,3.787054852,2.894646225,,,0.54620093,0.892408627,2.128373128,1.028025528,0.282375807,,,0,THCA,GDSC2
ZM447439,1050,"AURKA, AURKB",Mitosis,TP53_mut,11,5,0.271092984,2.952768239,3.302222972,,,0.632928376,-0.349454733,1.2793379,1.313045425,0.62304505,,,0,THCA,GDSC2
Alisertib,1051,AURKA,Mitosis,BRAF_mut,7,9,0.671230161,2.072690227,3.083413515,,,0.199618278,-1.010723288,1.425803715,1.563074926,0.204161226,,,0,THCA,GDSC2
Alisertib,1051,AURKA,Mitosis,NRAS_mut,3,13,0.260493058,2.304913937,2.718831647,,,0.523571162,-0.413917709,0.706653581,1.691872523,0.690381447,,,0,THCA,GDSC2
Alisertib,1051,AURKA,Mitosis,TP53_mut,11,5,0.209022211,2.537375142,2.869685331,,,0.788710245,-0.332310189,0.990894828,2.528200591,0.70418625,,,0,THCA,GDSC2
RO-3306,1052,CDK1,Cell cycle,BRAF_mut,7,9,0.12987341,4.190300036,4.393148279,,,0.788678651,-0.202848243,1.130567088,1.81947801,0.800380536,,,0,THCA,GDSC2
RO-3306,1052,CDK1,Cell cycle,NRAS_mut,3,13,0.552079114,3.620056527,4.46232809,,,0.537359568,-0.842271564,1.934437159,1.446311473,0.403246881,,,0,THCA,GDSC2
RO-3306,1052,CDK1,Cell cycle,TP53_mut,11,5,0.073555209,4.268439341,4.3835204,,,0.916993508,-0.115081059,1.218754675,2.203177067,0.893466474,,,0,THCA,GDSC2
MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,BRAF_mut,7,9,1.129733222,3.008714846,4.278167462,,,0.033269886,-1.269452615,0.841039529,1.29580776,0.041697629,,,0,THCA,GDSC2
MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,NRAS_mut,3,13,0.305178151,4.044983516,3.648427733,,,0.773456708,0.396555783,2.052079602,1.126091073,0.641097891,,,0,THCA,GDSC2
MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,TP53_mut,11,5,0.494281464,3.919306852,3.290427142,,,0.417050815,0.62887971,1.213884738,1.407807689,0.37496197,,,0,THCA,GDSC2
Palbociclib,1054,"CDK4, CDK6",Cell cycle,BRAF_mut,7,9,1.376007949,3.370138574,4.539818105,,,0.024649672,-1.169679531,0.996720714,0.720724088,0.016257507,,,0,THCA,GDSC2
Palbociclib,1054,"CDK4, CDK6",Cell cycle,NRAS_mut,3,13,0.322319788,4.301211446,3.965053741,,,0.341339213,0.336157705,0.242263186,1.122145449,0.622632671,,,0,THCA,GDSC2
Palbociclib,1054,"CDK4, CDK6",Cell cycle,TP53_mut,11,5,0.505018837,4.189191224,3.673645901,,,0.385713329,0.515545323,1.008465081,1.05115285,0.364975078,,,0,THCA,GDSC2
Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,BRAF_mut,7,9,0.664411723,-1.437090228,-0.419701955,,,0.190699161,-1.017388272,1.238278509,1.71852679,0.208532332,,,62.55969956,THCA,GDSC2
Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,NRAS_mut,3,13,0.01067281,-0.85073069,-0.86805824,,,0.98832548,0.01732755,1.717326122,1.607356782,0.986940669,,,98.69406694,THCA,GDSC2
Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,TP53_mut,11,5,0.150622402,-0.941016529,-0.697153476,,,0.8338786,-0.243863053,1.226657434,2.326531206,0.784127305,,,98.69406694,THCA,GDSC2
Pictilisib,1058,PI3K (class 1),PI3K/MTOR signaling,BRAF_mut,7,9,1.142476574,1.174355622,2.451900372,,,0.039486308,-1.27754475,1.086521212,1.141423424,0.039755165,,,11.92654949,THCA,GDSC2
Pictilisib,1058,PI3K (class 1),PI3K/MTOR signaling,NRAS_mut,3,13,0.007989269,1.884487483,1.894933096,,,0.991673103,-0.010445613,1.461963625,1.279892024,0.990224058,,,99.02240577,THCA,GDSC2
Pictilisib,1058,PI3K (class 1),PI3K/MTOR signaling,TP53_mut,11,5,0.161981399,1.958945084,1.747839355,,,0.799953283,0.21110573,1.16342719,1.60028136,0.768345198,,,99.02240577,THCA,GDSC2
AZD8055,1059,"MTORC1, MTORC2",PI3K/MTOR signaling,BRAF_mut,7,7,0.025606759,0.183116329,0.152509444,,,0.962674159,0.030606885,1.388445413,0.964126755,0.962579347,,,96.25793474,THCA,GDSC2
AZD8055,1059,"MTORC1, MTORC2",PI3K/MTOR signaling,TP53_mut,10,4,1.690988282,0.613282495,-0.945861132,,,0.048597174,1.559143627,0.875895521,1.048325243,0.014399423,,,2.879884611,THCA,GDSC2
PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,BRAF_mut,7,9,0.988825019,-0.826750995,1.259001281,,,0.059673038,-2.085752276,1.690178874,2.375637717,0.069938749,,,0,THCA,GDSC2
PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,NRAS_mut,3,13,0.782921607,-1.093708192,0.678836857,,,0.285656782,-1.77254505,2.12865279,2.285794379,0.241761295,,,0,THCA,GDSC2
